127.0.0.1 - - [16/May/2019:21:52:27 -0300] "GET / HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [16/May/2019:21:52:40 -0300] "GET /PayParking/logar.xhtml HTTP/1.1" 200 2625
0:0:0:0:0:0:0:1 - - [16/May/2019:21:52:40 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [16/May/2019:21:52:40 -0300] "GET /PayParking/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [16/May/2019:21:52:40 -0300] "GET /PayParking/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [16/May/2019:21:52:41 -0300] "GET /PayParking/jquery.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [16/May/2019:21:52:52 -0300] "GET /PayParking/logar.xhtml HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [16/May/2019:21:52:52 -0300] "GET /PayParking/jquery.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [16/May/2019:21:52:52 -0300] "GET /PayParking/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [16/May/2019:21:52:52 -0300] "GET /PayParking/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [16/May/2019:21:52:53 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [16/May/2019:21:52:53 -0300] "GET /PayParking/jquery.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [16/May/2019:21:52:54 -0300] "GET /favicon.ico HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [16/May/2019:21:53:06 -0300] "GET /PayParking/estacionamento.xhtml HTTP/1.1" 200 4097
0:0:0:0:0:0:0:1 - - [16/May/2019:21:53:06 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [16/May/2019:21:53:06 -0300] "GET /PayParking/jquery.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [16/May/2019:21:53:06 -0300] "GET /PayParking/jquery.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [16/May/2019:21:53:50 -0300] "GET /PayParking/logar.xhtml HTTP/1.1" 200 2581
0:0:0:0:0:0:0:1 - - [16/May/2019:21:53:50 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [16/May/2019:21:53:50 -0300] "GET /PayParking/jquery.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [16/May/2019:21:53:50 -0300] "GET /PayParking/jquery.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [16/May/2019:21:58:07 -0300] "GET /PayParking/estacionamento.xhtml HTTP/1.1" 200 4098
0:0:0:0:0:0:0:1 - - [16/May/2019:21:58:07 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [16/May/2019:21:58:07 -0300] "GET /PayParking/jquery.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [16/May/2019:21:58:07 -0300] "GET /PayParking/jquery.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [16/May/2019:22:01:15 -0300] "GET /PayParking/logar.xhtml HTTP/1.1" 200 2580
0:0:0:0:0:0:0:1 - - [16/May/2019:22:01:15 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [16/May/2019:22:01:15 -0300] "GET /PayParking/jquery.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [16/May/2019:22:01:15 -0300] "GET /PayParking/jquery.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [16/May/2019:22:01:17 -0300] "GET /PayParking/cadastro.xhtml HTTP/1.1" 200 3347
0:0:0:0:0:0:0:1 - - [16/May/2019:22:01:17 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [16/May/2019:22:01:17 -0300] "GET /PayParking/jquery.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [16/May/2019:22:01:17 -0300] "GET /PayParking/jquery.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [16/May/2019:22:01:35 -0300] "GET /PayParking/js/bootstrap.min.js.map HTTP/1.1" 200 176087
0:0:0:0:0:0:0:1 - - [16/May/2019:22:01:35 -0300] "GET /PayParking/css/bootstrap.min.css.map HTTP/1.1" 200 562427
