0:0:0:0:0:0:0:1 - - [02/May/2019:14:59:12 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:14:59:12 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:14:59:12 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:14:59:12 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:04:50 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [02/May/2019:15:04:50 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:04:50 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:04:50 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:04:50 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:04:50 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [02/May/2019:15:04:50 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:04:50 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:04:50 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:04:50 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:07:15 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [02/May/2019:15:07:15 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:07:15 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:07:15 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:07:16 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:07:16 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [02/May/2019:15:07:16 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:07:16 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:07:17 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:07:17 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:07:17 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:07:19 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [02/May/2019:15:07:19 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:07:19 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:07:19 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:07:19 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:07:20 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [02/May/2019:15:07:20 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:07:20 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:07:20 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:07:20 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:08:40 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [02/May/2019:15:08:40 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:08:40 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:08:40 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:08:40 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:09:22 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [02/May/2019:15:09:22 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:09:22 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:09:23 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:09:23 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:09:23 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [02/May/2019:15:09:23 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:09:23 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:09:23 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:09:23 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:09:47 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [02/May/2019:15:09:47 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:09:47 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:09:47 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:09:47 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:09:53 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [02/May/2019:15:09:53 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
